Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
New Zealand,Sudan,2017,Exports & Imports,19,5,0.5,0.12,43487.29,43489.64,2.35,0,0.11,2,0.89,7,42.86,57.14,0,0,5,0,0,0.62,1.73,2,0.89,7,42.86,57.14,0,0,5,0,0,0.62,1.73,
New Zealand,Suriname,2017,Exports & Imports,11,37,0.29,0.87,-678.22,134.45,812.67,0,0,6.95,1.6,76,64.47,35.53,0,0,10,0,0,807.93,4.7,6.95,1.6,76,64.47,35.53,0,0,10,0,0,807.93,4.7,1
New Zealand,Slovak Republic,2017,Exports & Imports,32,503,0.84,11.81,-45977.27,5376.74,51354.02,0.13,0.01,3.57,5.68,1043,59.25,39.02,1.73,0,10,0,735.43,45741.26,4529.11,3.57,5.68,1043,59.25,39.02,1.73,0,10,0,735.43,45741.26,4529.11,
New Zealand,Slovenia,2017,Exports & Imports,47,507,1.23,11.91,-15175.01,2474.93,17649.94,0.04,0.01,3.33,3.01,1036,57.05,41.22,1.74,0,10,0,271.09,11433.42,6180.54,3.33,3.01,1036,57.05,41.22,1.74,0,10,0,271.09,11433.42,6180.54,
New Zealand,Sweden,2017,Exports & Imports,344,1357,9,31.87,-214255.11,50790.13,265045.24,0.66,0.13,3.13,2.87,2483,55.3,43.66,0.89,0.16,10,0,3922.9,182346.34,77246.44,3.13,2.87,2483,55.3,43.66,0.89,0.16,10,0,3922.9,182346.34,77246.44,
New Zealand,Swaziland,2017,Exports & Imports,3,60,0.08,1.41,-662.25,16.42,678.67,0,0,5.31,1.97,147,51.7,46.26,2.04,0,10,0,0.04,238.74,439.93,5.44,1.99,147,53.74,44.22,2.04,0,10,0,0.04,238.75,439.91,1
New Zealand,Saint Maarten (Dutch part),2017,Exports & Imports,33,1,0.86,0.02,799.76,800.08,0.32,0,0,2.5,2.5,2,50,50,0,0,5,0,0,0.32,0,2.5,2.5,2,50,50,0,0,5,0,0,0.32,0,
New Zealand,Seychelles,2017,Exports & Imports,60,5,1.57,0.12,4590.34,4599.12,8.78,0,0.01,2.92,4.1,12,41.67,58.33,0,0,10,0,0,5.41,3.37,3.17,4.1,12,50,50,0,0,10,0,0,5.41,3.37,1
New Zealand,Syrian Arab Republic,2017,Exports & Imports,6,3,0.16,0.07,9573.63,9602.19,28.56,0,0.03,1.33,0.56,4,25,75,0,0,4,0,0,3.98,24.59,1.67,0.7,4,25,75,0,0,5,0,0,3.98,24.59,1
New Zealand,Turks and Caicos Isl.,2017,Exports & Imports,4,8,0.1,0.19,84.1,109.75,25.66,0,0,1.44,1.15,24,45.83,50,4.17,0,10,0,1.11,23.08,2.58,1.8,1.39,24,50,45.83,4.17,0,10,0,1.11,23.08,2.58,1
New Zealand,Chad,2017,Exports & Imports,1,1,0.03,0.02,157.43,158.03,0.61,0,0,0,0,1,0,100,0,0,0,0,0,0,0.61,0,0,1,0,100,0,0,0,0,0,0,0.61,1
New Zealand,Togo,2017,Exports & Imports,6,23,0.16,0.54,416.85,695.33,278.48,0,0,0,0,38,0,100,0,0,0,0,0,0,278.48,3.58,0.19,38,55.26,44.74,0,0,10,0,0,10.78,267.7,1
New Zealand,Thailand,2017,Exports & Imports,809,1798,21.17,42.23,-1264126.64,625535.59,1889662.23,4.71,1.64,0,0,3149,0,100,0,0,0,0,0,10273.44,1863161.69,3.28,3.16,3149,54.65,44.62,0.67,0.06,200.68,0,1879.89,1620274.17,253160.96,3
New Zealand,Tajikistan,2017,Exports & Imports,1,3,0.03,0.07,91.42,92.18,0.75,0,0,2.33,1.96,10,30,70,0,0,5,0,0,0.74,0.02,2.33,1.96,10,30,70,0,0,5,0,0,0.74,0.02,
New Zealand,Tokelau,2017,Exports & Imports,134,36,3.51,0.85,218.02,414.19,196.16,0,0,3.72,3.13,57,61.4,38.6,0,0,10,0,0,173.5,22.66,3.72,3.13,57,61.4,38.6,0,0,10,0,0,173.5,22.66,
New Zealand,Turkmenistan,2017,Exports & Imports,1,5,0.03,0.12,185.63,189.3,3.68,0,0,3.13,0.77,12,25,75,0,0,10,0,0,3.23,0.45,3.13,0.77,12,25,75,0,0,10,0,0,3.23,0.45,
New Zealand,East Timor,2017,Exports & Imports,53,4,1.39,0.09,3833.03,4099.18,266.15,0,0.01,0,0,4,0,100,0,0,0,0,0,0,266.15,1.25,0,4,25,75,0,0,5,0,0,0.02,266.13,1
New Zealand,Tonga,2017,Exports & Imports,1577,101,41.27,2.37,46289.74,49316.12,3026.38,0.01,0.13,0,0,202,0,100,0,0,0,0,0,0,3026.3,2.21,0.9,202,49.01,50.99,0,0,10,0,0,983.13,2043.18,2
New Zealand,Trinidad and Tobago,2017,Exports & Imports,87,11,2.28,0.26,45152.15,46240.83,1088.68,0,0.12,1.94,0.09,47,21.28,78.72,0,0,5,0,0,31.73,1056.94,2.34,0.09,47,25.53,74.47,0,0,5,0,0,31.92,1056.76,1
New Zealand,Tunisia,2017,Exports & Imports,32,306,0.84,7.19,-819.99,4098.21,4918.19,0.01,0.01,5.68,5.18,598,66.56,32.11,1.34,0,10,0,4.78,3619.98,1295.82,5.79,5.19,598,69.23,29.43,1.34,0,10,0,4.78,3620.84,1294.95,1
New Zealand,Turkey,2017,Exports & Imports,156,1192,4.08,27.99,-81073.81,66402.36,147476.18,0.37,0.17,3.56,2.98,2157,56.75,42.33,0.93,0,10,0,1438.8,101327.01,39060.94,3.68,3.05,2157,59.16,39.92,0.93,0,10,0,1438.8,102590.82,37797.13,1
New Zealand,Tuvalu,2017,Exports & Imports,363,4,9.5,0.09,2935.49,2941.37,5.88,0,0.01,0,0,12,0,100,0,0,0,0,0,0,5.88,2.66,3.13,12,25,75,0,0,5,0,0,4.6,1.28,2
New Zealand,Tanzania,2017,Exports & Imports,51,27,1.33,0.63,-430.59,3463.75,3894.34,0.01,0.01,0.01,0,68,1.47,98.53,0,0,5,0,0,3.11,3891.23,3.18,0.05,68,50,50,0,0,10,0,0,50.29,3844.05,1
New Zealand,Uganda,2017,Exports & Imports,33,7,0.86,0.16,241.47,658.96,417.5,0,0,0,0,17,0,94.12,5.88,0,0,0,1.12,1.12,416.38,1.52,0,17,52.94,41.18,5.88,0,10,0,1.12,1.43,416.07,1
New Zealand,Ukraine,2017,Exports & Imports,41,440,1.07,10.33,1657.16,8778.66,7121.5,0.02,0.02,4.35,2.2,932,58.8,39.59,0.97,0.64,200.68,0,48.68,3731.21,3299.53,4.35,2.2,932,58.8,39.59,0.97,0.64,200.68,0,48.68,3731.21,3299.53,
New Zealand,United States Minor Outlying I,2017,Exports & Imports,,4,,0.09,,,7.3,0,,3.75,4.15,4,75,25,0,0,5,0,0,6.06,1.24,3.75,4.15,4,75,25,0,0,5,0,0,6.06,1.24,
New Zealand,Unspecified,2017,Exports & Imports,19,1,0.5,0.02,414454.7,414622.63,167.93,0,1.09,5,5,1,100,0,0,0,5,5,0,167.93,0,5,5,1,100,0,0,0,5,5,0,167.93,0,
New Zealand,Uruguay,2017,Exports & Imports,180,34,4.71,0.8,6555.65,10598.97,4043.32,0.01,0.03,2.9,1.17,104,42.31,55.77,1.92,0,10,0,0.05,2670.53,1183.24,2.92,1.29,104,45.19,52.88,1.92,0,10,0,0.05,2670.53,1183.24,1
New Zealand,United States,2017,Exports & Imports,1851,3511,48.44,82.46,-505824.61,3781111.96,4286936.57,10.68,9.94,2.43,2.2,5531,46.25,53.15,0.49,0.11,200.68,0,44849.11,2080242.26,2092294.8,2.43,2.2,5531,46.25,53.15,0.49,0.11,200.68,0,44849.11,2080242.26,2092294.8,
New Zealand,Uzbekistan,2017,Exports & Imports,7,7,0.18,0.16,3103.29,3161.68,58.39,0,0.01,2.52,3.28,19,36.84,63.16,0,0,5,0,0,39.82,18.57,2.52,3.28,19,36.84,63.16,0,0,5,0,0,39.82,18.57,
New Zealand,St. Vincent and the Grenadines,2017,Exports & Imports,14,6,0.37,0.14,558.12,558.94,0.82,0,0,3.38,3.14,23,56.52,43.48,0,0,5,0,0,0.82,0,3.38,3.14,23,56.52,43.48,0,0,5,0,0,0.82,0,1
New Zealand,Venezuela,2017,Exports & Imports,6,34,0.16,0.8,123.84,329.05,205.21,0,0,3.01,1.63,68,51.47,44.12,4.41,0,5,0,0.35,90.83,114.38,3.15,1.68,68,52.94,42.65,4.41,0,5,0,0.35,90.83,114.38,1
New Zealand,British Virgin Islands,2017,Exports & Imports,10,8,0.26,0.19,10.03,96.23,86.21,0,0,4.27,4.22,20,45,55,0,0,10,0,0,84.54,1.67,4.58,4.22,20,50,50,0,0,10,0,0,84.54,1.67,1
New Zealand,Vietnam,2017,Exports & Imports,520,1209,13.61,28.39,-76436.63,513469.66,589906.29,1.47,1.35,0.83,0.98,2207,9.29,90.71,0,0,10,0,0,119192.05,456131.53,3.75,2.44,2207,58.77,40.55,0.68,0,10,0,498.7,259424.65,315898.92,2
New Zealand,Vanuatu,2017,Exports & Imports,1357,30,35.51,0.7,32469.97,32978.74,508.77,0,0.09,0,0,74,0,100,0,0,0,0,0,0,508.77,1.89,2.92,74,40.54,56.76,2.7,0,10,0,14.56,318.5,190.27,2
New Zealand, World,2017,Exports & Imports,3821,4258,100,100,-2078152.96,38050286.2,40128439.16,100,100,2.13,1.35,142540,36.7,62.56,0.65,0.09,200.68,0,228387.56,11981517.69,26830936.39,2.07,2.8,7343,41.41,58.07,0.02,0,200.68,0,271982.46,23639662.43,15172791.64,16
New Zealand,Wallis and Futura Isl.,2017,Exports & Imports,277,2,7.25,0.05,3890.86,3924.48,33.62,0,0.01,0,0,1,0,100,0,0,0,0,0,19.96,13.66,0,0,1,0,100,0,0,0,0,0,19.96,13.66,1
New Zealand,Samoa,2017,Exports & Imports,1965,174,51.43,4.09,72603.64,77823.68,5220.04,0.01,0.2,0,0,375,0,100,0,0,0,0,0,0,5191.3,4.35,1.7,375,55.73,43.47,0.27,0.53,200.68,0,0.4,3129.82,2061.47,2
New Zealand,Yemen,2017,Exports & Imports,3,8,0.08,0.19,16280.35,16326.12,45.77,0,0.04,0.31,0,9,11.11,88.89,0,0,5,0,0,0.06,45.71,2.19,3.81,9,44.44,55.56,0,0,5,0,0,34.87,10.9,1
New Zealand,South Africa,2017,Exports & Imports,576,1049,15.07,24.64,53738.82,158672.11,104933.28,0.26,0.42,3.35,3.51,2027,58.12,41.05,0.84,0,10,0,249.36,67129.81,36242.76,3.35,3.51,2027,58.12,41.05,0.84,0,10,0,249.36,67129.81,36242.76,
New Zealand,"Congo, Dem. Rep.",2017,Exports & Imports,7,12,0.18,0.28,4391.61,4645.27,253.66,0,0.01,0,0,17,0,100,0,0,0,0,0,0,253.66,1.87,0.76,17,35.29,64.71,0,0,10,0,0,113.52,140.15,1
New Zealand,Zambia,2017,Exports & Imports,26,6,0.68,0.14,694.9,815.99,121.1,0,0,0,0,9,0,100,0,0,0,0,0,0,121.1,0.83,0.13,9,22.22,77.78,0,0,5,0,0,6.38,114.72,1
New Zealand,Zimbabwe,2017,Exports & Imports,16,184,0.42,4.32,1245.63,2166.12,920.49,0,0.01,2.61,1.72,407,52.09,47.42,0.49,0,10,0,0.15,428.83,489.69,2.74,1.82,407,54.55,44.96,0.49,0,10,0,0.15,430.38,488.13,1
